Image Link,Name,Code,Buying Price,Selling Price,Coupon Code,Discounted Price,Brand,Size,Colour,Materials,In Stock,Description
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/HJTKesvQSKE78hOrYLirvMDzgZ2YyNrko2CZt2Dk.jpg,Winter Baby Hoodie,KHOD-011,600,649,,,CIRCLE,3 years - 4 Years 5 Years - 6 Years 7 Years - 8 Years 9 Years - 10 Years 11 Years - 12 Years,,Cotton GSM: 290(+-10),YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/IWcUgUEp2c6vU2pGkh5gQMHzfgC897PIc1EyibHA.jpg,Winter Baby Hoodie,KHOD-010,600,649,,,CIRCLE,3 years - 4 Years 5 Years - 6 Years 7 Years - 8 Years 9 Years - 10 Years 11 Years - 12 Years,,Fabrics: Cotton GSM: 290(+-10),YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/wRb1tXPNSecDmFv46UmB839gFfCONtgdNKhntKUz.jpg,Casual baby sweater,KSWT-002,550,599,,,CIRCLE,2 Years 9 Years - 10 Years 4 years 6 Years 8 years,,,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/odlMVX9bhfjFydUT17OESMSpPVXMogMGWhR1TBpR.jpg,Casual baby sweater,KSWT-001,550,599,,,CIRCLE,2 Years 9 Years - 10 Years 4 years 6 Years 8 years,,,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/GNnUJURUODnB9453VfaqKUhWknunn7DP2x4FCFOe.jpg,Boy's Polo With Pant,KCOM-154,500,649,,,CIRCLE,3 years - 4 Years 5 Years - 6 Years 7 Years - 8 Years 1 Year - 2 Years,,Fabric- Pk Polo With Terry Pant.,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/vCto8xkSU1B6S77MKWAmAL0DJYb1HsyvLYbExD7S.jpg,Boy's Polo With Pant,KCOM-157,500,599,,,CIRCLE,3 years - 4 Years 5 Years - 6 Years 7 Years - 8 Years 1 Year - 2 Years,,Fabric- Pk Polo With Terry Pant.,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/fzkUiYYOdl1nSgPd43Bg4RhpKwNVIEZt5k6hR5kO.jpg,Boy's T-shirt With Pant,KCOM-153,350,449,,,CIRCLE,3 years - 4 Years 5 Years - 6 Years 7 Years - 8 Years 9 Years - 10 Years 1 Year - 2 Years,,Fabric- 100% Cotton.,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/A4EvW4QY9Ux8nVfMz9PcZU1wXd9v39H3ZxuCXKs1.jpg,Baby Summer combo,KCOM-141,350,449,,,CIRCLE,2 Years - 3 Years 0-6 Month 6-12 Month 12-18 Month 18-24 Month,,Fabrics - 100 % Cotton,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/nxe75mOCX4QLXhbqZgIoZUse3KF7XpwsXnxRe6AJ.jpg,Baby Summer combo,KCOM-140,350,449,,,CIRCLE,2 Years - 3 Years 0-6 Month 6-12 Month 12-18 Month 18-24 Month,,Fabrics - 100 % Cotton,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
https://d26ymvzd0yz7vf.cloudfront.net/uploads/all/cZjjk8wmmDYvmkJBsexFJ3VGwYph4GdjHYpBtqHn.jpg,Baby Summer combo,KCOM-137,350,449,,,CIRCLE,2 Years - 3 Years 0-6 Month 6-12 Month 12-18 Month 18-24 Month,,Fabrics - 100 % Cotton,YES,Export Quality Hoodie Fabrics: Fabric: 80% Cotton, 20% Fleece Fabric & Print Color Guaranteed Fabrication:290-320 GSM Fabric: 100% Cotton. Note : ডেলিভারি ম্যানকে টাকা বুঝিয়ে দিয়ে প্রোডাক্টটি বুঝে নিবেন। ডেলিভারি ম্যান থাকাকালীন প্রোডাক্ট চেক করুন। ডেলিভারি ম্যান চলে আসার পর কোনো অভিযোগ গ্রহণ করা হবে না।
